HomeTeam	AwayTeam	FTH Goals	FTA Goals	FT Result
Blackburn	Aston Villa	5	0	H
Leicester	Liverpool	0	0	D
Newcastle	Bolton	2	1	H
Derby	Blackburn	3	1	H
West Ham	Barnsley	6	0	H
Sheffield Weds	Newcastle	2	1	H
Arsenal	Leeds	2	1	H
Bolton	Southampton	0	0	D
Chelsea	Coventry	3	1	H
Liverpool	Wimbledon	2	0	H
Aston Villa	Leicester	1	1	D
Man United	Tottenham	2	0	H
Crystal Palace	Everton	1	3	A
Southampton	Chelsea	1	0	H
Newcastle	Liverpool	1	2	A
Blackburn	Crystal Palace	2	2	D
Wimbledon	West Ham	1	2	A
Coventry	Man United	3	2	H
Barnsley	Derby	1	0	H
Tottenham	Arsenal	1	1	D
Leeds	Aston Villa	1	1	D
Leicester	Sheffield Weds	1	1	D
Everton	Bolton	3	2	H
West Ham	Coventry	1	0	H
Derby	Newcastle	1	0	H
Chelsea	Wimbledon	1	1	D
Sheffield Weds	Blackburn	0	0	D
Aston Villa	Tottenham	4	1	H
Man United	Everton	2	0	H
Bolton	Barnsley	1	1	D
Arsenal	Leicester	2	1	H
Crystal Palace	Southampton	1	1	D
Liverpool	Leeds	3	1	H
Newcastle	Man United	0	1	A
Blackburn	West Ham	3	0	H
Tottenham	Barnsley	3	0	H
Sheffield Weds	Chelsea	1	4	A
Leeds	Bolton	2	0	H
Aston Villa	Southampton	1	1	D
Derby	Crystal Palace	0	0	D
Liverpool	Coventry	1	0	H
Leicester	Everton	0	1	A
Newcastle	Derby	0	0	D
Man United	Aston Villa	1	0	H
Bolton	Derby	3	3	D
Everton	Wimbledon	0	0	D
West Ham	Sheffield Weds	1	0	H
Coventry	Tottenham	4	0	H
Barnsley	Newcastle	2	2	D
Southampton	Leicester	2	1	H
Chelsea	Leeds	0	0	D
Arsenal	Blackburn	1	3	A
Crystal Palace	Liverpool	0	3	A
Sheffield Weds	Barnsley	2	1	H
Wimbledon	Southampton	1	0	H
Blackburn	Bolton	3	1	H
Tottenham	Chelsea	1	6	A
Newcastle	Arsenal	0	1	A
Liverpool	Man United	1	3	A
Leeds	Everton	0	0	D
Leicester	Crystal Palace	1	1	D
Aston Villa	Coventry	3	0	H
Derby	West Ham	2	0	H
West Ham	Crystal Palace	4	1	H
Bolton	Newcastle	1	0	H
Arsenal	Liverpool	0	1	A
Man United	Blackburn	4	0	H
Everton	Tottenham	0	2	A
Barnsley	Leeds	2	3	A
Bolton	Wimbledon	1	0	H
Southampton	Sheffield Weds	2	3	A
Crystal Palace	Newcastle	1	2	A
Coventry	Leicester	0	2	A
West Ham	Aston Villa	2	1	H
Chelsea	Derby	4	0	H
Chelsea	Everton	2	0	H
Tottenham	Crystal Palace	0	1	A
Leeds	West Ham	3	1	H
Derby	Coventry	3	1	H
Newcastle	Southampton	2	1	H
Wimbledon	Man United	2	5	A
Aston Villa	Everton	2	1	H
Liverpool	Barnsley	0	1	A
Sheffield Weds	Arsenal	2	0	H
Leicester	Bolton	0	0	D
Blackburn	Chelsea	1	0	H
Leicester	Wimbledon	0	1	A
Chelsea	West Ham	2	1	H
Arsenal	Man United	3	2	H
Southampton	Barnsley	4	1	H
Leeds	Derby	4	3	H
Coventry	Newcastle	2	2	D
Sheffield Weds	Bolton	5	0	H
Crystal Palace	Aston Villa	1	1	D
Blackburn	Everton	3	2	H
Liverpool	Tottenham	4	0	H
Everton	Southampton	0	2	A
Bolton	Liverpool	1	1	D
Man United	Sheffield Weds	6	1	H
Derby	Arsenal	3	0	H
Aston Villa	Chelsea	0	2	A
Wimbledon	Coventry	1	2	A
Tottenham	Leeds	0	1	A
Barnsley	Blackburn	1	1	D
Newcastle	Leicester	3	3	D
Leicester	West Ham	2	1	H
Arsenal	Aston Villa	0	0	D
Bolton	Chelsea	1	0	H
Sheffield Weds	Crystal Palace	1	3	A
Newcastle	Blackburn	1	1	D
Coventry	Everton	0	0	D
Man United	Barnsley	7	0	H
Liverpool	Derby	4	0	H
Southampton	Tottenham	3	2	H
Wimbledon	Leeds	1	0	H
Derby	Wimbledon	1	1	D
Barnsley	Coventry	2	0	H
Tottenham	Sheffield Weds	3	2	H
Derby	Man United	2	2	D
Blackburn	Southampton	1	0	H
Everton	Liverpool	2	0	H
Chelsea	Leicester	1	0	H
West Ham	Bolton	3	0	H
Leeds	Newcastle	4	1	H
Aston Villa	Wimbledon	1	2	A
Crystal Palace	Arsenal	0	0	D
Leicester	Derby	1	2	A
Liverpool	Chelsea	4	2	H
Bolton	Aston Villa	0	1	A
Sheffield Weds	Everton	3	1	H
Man United	Crystal Palace	2	0	H
Wimbledon	Blackburn	0	1	A
Arsenal	Barnsley	5	0	H
Southampton	West Ham	3	0	H
Newcastle	Tottenham	1	0	H
Coventry	Leeds	0	0	D
Blackburn	Coventry	0	0	D
Chelsea	Newcastle	1	0	H
Derby	Southampton	4	0	H
West Ham	Liverpool	2	1	H
Tottenham	Wimbledon	0	0	D
Barnsley	Leicester	0	2	A
Crystal Palace	Bolton	2	2	D
Aston Villa	Sheffield Weds	2	2	D
Leeds	Man United	1	0	H
Everton	Arsenal	2	2	D
Man United	Chelsea	2	2	D
Coventry	Crystal Palace	1	1	D
Southampton	Leeds	0	2	A
Newcastle	Everton	1	0	H
Sheffield Weds	Derby	2	5	A
Leicester	Blackburn	1	1	D
Arsenal	West Ham	4	0	H
Wimbledon	Barnsley	4	1	H
Bolton	Tottenham	1	1	D
Liverpool	Aston Villa	3	0	H
Chelsea	Arsenal	2	3	A
West Ham	Newcastle	0	1	A
Aston Villa	Derby	2	1	H
Tottenham	Blackburn	0	0	D
Sheffield Weds	Coventry	0	0	D
Wimbledon	Crystal Palace	0	1	A
Bolton	Man United	0	0	D
Leeds	Leicester	0	1	A
Everton	Barnsley	4	2	H
Southampton	Liverpool	1	1	D
Blackburn	Leeds	3	4	A
Derby	Everton	3	1	H
Newcastle	Wimbledon	1	3	A
Liverpool	Sheffield Weds	2	1	H
Barnsley	Aston Villa	0	3	A
Crystal Palace	Chelsea	0	3	A
Leicester	Tottenham	3	0	H
Arsenal	Bolton	4	1	H
Coventry	Southampton	1	0	H
Man United	West Ham	2	1	H
Bolton	Everton	0	0	D
Aston Villa	Leeds	1	0	H
Derby	Barnsley	1	0	H
West Ham	Wimbledon	3	1	H
Crystal Palace	Blackburn	1	2	A
Arsenal	Tottenham	0	0	D
Sheffield Weds	Leicester	1	0	H
Man United	Coventry	3	0	H
Chelsea	Southampton	4	2	H
Southampton	Crystal Palace	1	0	H
Tottenham	Aston Villa	3	2	H
Barnsley	Bolton	2	1	H
Everton	Man United	0	2	A
Leicester	Arsenal	3	3	D
Wimbledon	Chelsea	0	2	A
Coventry	West Ham	1	1	D
Leeds	Liverpool	0	2	A
Blackburn	Sheffield Weds	7	2	H
Barnsley	Chelsea	0	6	A
Leicester	Man United	0	0	D
Tottenham	Derby	1	0	H
Coventry	Bolton	2	2	D
Everton	West Ham	2	1	H
Southampton	Arsenal	1	3	A
Wimbledon	Sheffield Weds	1	1	D
Leeds	Crystal Palace	0	2	A
Blackburn	Liverpool	1	1	D
Newcastle	Aston Villa	1	0	H
West Ham	Tottenham	2	1	H
Liverpool	Leicester	1	2	A
Sheffield Weds	Leeds	1	3	A
Man United	Southampton	1	0	H
Aston Villa	Blackburn	0	4	A
Crystal Palace	Barnsley	0	1	A
Arsenal	Coventry	2	0	H
Tottenham	Man United	0	2	A
Blackburn	Derby	1	0	H
Newcastle	Sheffield Weds	2	1	H
Leeds	Arsenal	1	1	D
Coventry	Chelsea	3	2	H
Everton	Crystal Palace	1	2	A
Southampton	Bolton	0	1	A
Barnsley	West Ham	1	2	A
Leicester	Aston Villa	1	0	H
Wimbledon	Liverpool	1	1	D
Everton	Chelsea	1	2	A
Blackburn	Leicester	2	4	A
Sheffield Weds	Liverpool	1	1	D
Wimbledon	Sunderland	1	0	H
Man United	West Ham	2	0	H
Aston Villa	Southampton	1	0	H
Leeds	Middlesbrough	1	1	D
Newcastle	Nott'm Forest	5	0	H
Tottenham	Coventry	1	2	A
Derby	Arsenal	1	3	A
Blackburn	Middlesbrough	0	0	D
Man United	Newcastle	0	0	D
Leicester	Sheffield Weds	1	0	H
Wimbledon	Liverpool	2	1	H
West Ham	Newcastle	0	0	D
Man United	Middlesbrough	3	3	D
Southampton	Blackburn	2	0	H
West Ham	Sheffield Weds	5	1	H
Liverpool	Tottenham	2	1	H
Leicester	Man United	2	2	D
Arsenal	Newcastle	0	1	A
Middlesbrough	Aston Villa	3	2	H
Coventry	Derby	1	2	A
Nott'm Forest	Wimbledon	1	1	D
Sunderland	Everton	3	0	H
Chelsea	Leeds	0	0	D
Tottenham	Middlesbrough	1	0	H
Leicester	West Ham	0	1	A
Derby	Nott'm Forest	0	0	D
Leeds	Aston Villa	0	0	D
Blackburn	Sheffield Weds	4	1	H
Wimbledon	Chelsea	0	1	A
Sunderland	Southampton	0	1	A
Coventry	Arsenal	1	1	D
Aston Villa	Tottenham	1	1	D
Liverpool	Man United	1	3	A
Nott'm Forest	Leeds	1	1	D
Newcastle	Derby	3	1	H
Southampton	Coventry	2	2	D
Chelsea	Leicester	2	1	H
Arsenal	Blackburn	1	1	D
Sheffield Weds	Wimbledon	3	1	H
West Ham	Everton	2	2	D
Middlesbrough	Sunderland	0	1	A
Wimbledon	Leeds	2	0	H
Everton	Liverpool	1	1	D
Newcastle	Chelsea	3	1	H
Sheffield Weds	Newcastle	1	1	D
Sunderland	Liverpool	1	2	A
Southampton	West Ham	2	0	H
Arsenal	Leicester	2	0	H
Everton	Tottenham	1	0	H
Blackburn	Man United	2	3	A
Derby	Aston Villa	2	1	H
Everton	Leicester	1	1	D
Coventry	Chelsea	3	1	H
Wimbledon	Aston Villa	0	2	A
Derby	Southampton	1	1	D
West Ham	Middlesbrough	0	0	D
Sheffield Weds	Tottenham	2	1	H
Leeds	Blackburn	0	0	D
Liverpool	Coventry	1	2	A
Tottenham	Wimbledon	1	0	H
Chelsea	Arsenal	0	3	A
Newcastle	Sunderland	1	1	D
Man United	Derby	2	3	A
Nott'm Forest	Southampton	1	3	A
Aston Villa	Everton	3	1	H
Arsenal	Liverpool	1	2	A
Middlesbrough	Nott'm Forest	1	1	D
Wimbledon	Newcastle	1	1	D
Middlesbrough	Chelsea	1	0	H
Everton	Man United	0	2	A
Sunderland	Nott'm Forest	1	1	D
Sheffield Weds	Leeds	2	2	D
Coventry	West Ham	1	3	A
Southampton	Leicester	2	2	D
Blackburn	Aston Villa	0	2	A
Derby	Tottenham	4	2	H
Leicester	Tottenham	1	1	D
Middlesbrough	Blackburn	2	1	H
Chelsea	Southampton	1	0	H
Wimbledon	West Ham	1	1	D
Chelsea	Sunderland	6	2	H
Man United	Sheffield Weds	2	0	H
Nott'm Forest	Liverpool	1	1	D
Blackburn	Wimbledon	3	1	H
Aston Villa	West Ham	0	0	D
Southampton	Arsenal	0	2	A
Newcastle	Coventry	4	0	H
Leicester	Middlesbrough	1	3	A
Everton	Derby	1	0	H
Tottenham	Leeds	1	0	H
Sheffield Weds	Sunderland	2	1	H
Leeds	Southampton	0	0	D
West Ham	Chelsea	3	2	H
Blackburn	Nott'm Forest	1	1	D
Liverpool	Newcastle	4	3	H
Leeds	Everton	1	0	H
Coventry	Leicester	0	0	D
Sunderland	Man United	2	1	H
Arsenal	Nott'm Forest	2	0	H
Leicester	Aston Villa	1	0	H
Southampton	Everton	2	2	D
Middlesbrough	Derby	6	1	H
Chelsea	Blackburn	1	1	D
Nott'm Forest	Sheffield Weds	0	3	A
Sunderland	Tottenham	0	4	A
Coventry	Wimbledon	1	1	D
Aston Villa	Liverpool	1	0	H
Wimbledon	Leicester	1	3	A
Everton	Arsenal	0	2	A
Derby	Chelsea	3	2	H
Newcastle	Southampton	0	1	A
Leeds	West Ham	1	0	H
Sheffield Weds	Middlesbrough	3	1	H
Tottenham	Nott'm Forest	0	1	A
Man United	Coventry	3	1	H
Blackburn	Sunderland	1	0	H
Southampton	Wimbledon	0	0	D
West Ham	Tottenham	4	3	H
Arsenal	Wimbledon	0	1	A
Coventry	Everton	0	0	D
Southampton	Sheffield Weds	2	3	A
Sunderland	Leeds	0	1	A
Nott'm Forest	Aston Villa	0	0	D
Leicester	Derby	4	2	H
Liverpool	Blackburn	0	0	D
Chelsea	Man United	1	1	D
Middlesbrough	Newcastle	0	1	A
Derby	Sheffield Weds	2	2	D
Arsenal	Man United	1	2	A
Liverpool	Leeds	4	0	H
Aston Villa	Coventry	2	1	H
Derby	West Ham	1	0	H
Tottenham	Arsenal	0	0	D
Newcastle	Leicester	4	3	H
Leeds	Arsenal	0	0	D
Sheffield Weds	Coventry	0	0	D
Wimbledon	Middlesbrough	1	1	D
Everton	Nott'm Forest	2	0	H
Blackburn	West Ham	2	1	H
Aston Villa	Sunderland	1	0	H
Derby	Liverpool	0	1	A
Tottenham	Chelsea	1	2	A
Man United	Southampton	2	1	H
Newcastle	Everton	4	1	H
Leicester	Sunderland	1	1	D
West Ham	Arsenal	1	2	A
Man United	Wimbledon	2	1	H
Nott'm Forest	Coventry	0	1	A
Tottenham	Blackburn	2	1	H
Aston Villa	Sheffield Weds	0	1	A
Leeds	Derby	0	0	D
West Ham	Leeds	0	2	A
Arsenal	Everton	3	1	H
Nott'm Forest	Tottenham	2	1	H
Middlesbrough	Sheffield Weds	4	2	H
Leicester	Wimbledon	1	0	H
Sunderland	Blackburn	0	0	D
Chelsea	Derby	3	1	H
Coventry	Man United	0	2	A
Southampton	Newcastle	2	2	D
Liverpool	Aston Villa	3	0	H
Tottenham	Man United	1	2	A
Sunderland	Arsenal	1	0	H
Leeds	Leicester	3	0	H
Nott'm Forest	Chelsea	2	0	H
Wimbledon	Derby	1	1	D
Middlesbrough	Southampton	0	1	A
Blackburn	Coventry	4	0	H
Aston Villa	Newcastle	2	2	D
Sheffield Weds	Everton	2	1	H
Liverpool	West Ham	0	0	D
Everton	Blackburn	0	2	A
Arsenal	Middlesbrough	2	0	H
Man United	Aston Villa	0	0	D
Chelsea	Liverpool	1	0	H
Coventry	Sunderland	2	2	D
West Ham	Nott'm Forest	0	1	A
Newcastle	Leeds	3	0	H
Southampton	Liverpool	0	1	A
Leicester	Nott'm Forest	2	2	D
Everton	Wimbledon	1	3	A
Newcastle	Tottenham	7	1	H
Chelsea	Sheffield Weds	2	2	D
Derby	Blackburn	0	0	D
Coventry	Middlesbrough	3	0	H
West Ham	Sunderland	2	0	H
Man United	Leeds	1	0	H
Arsenal	Aston Villa	2	2	D
Tottenham	Southampton	3	1	H
Leeds	Coventry	1	3	A
Sunderland	Derby	2	0	H
Blackburn	Newcastle	1	0	H
Middlesbrough	Everton	4	2	H
Liverpool	Leicester	1	1	D
Nott'm Forest	Man United	0	4	A
Aston Villa	Chelsea	0	2	A
Sheffield Weds	Arsenal	0	0	D
Newcastle	Liverpool	1	1	D
Aston Villa	Wimbledon	5	0	H
Man United	Sunderland	5	0	H
Everton	Leeds	0	0	D
Leicester	Coventry	0	2	A
Southampton	Derby	3	1	H
Nott'm Forest	Arsenal	2	1	H
Tottenham	Sheffield Weds	1	1	D
Chelsea	West Ham	3	1	H
Sheffield Weds	Man United	1	1	D
Coventry	Newcastle	2	1	H
Liverpool	Nott'm Forest	4	2	H
Derby	Everton	0	1	A
Sunderland	Chelsea	3	0	H
Leeds	Tottenham	0	0	D
Wimbledon	Blackburn	1	0	H
Liverpool	Middlesbrough	5	1	H
Nott'm Forest	Newcastle	0	0	D
West Ham	Man United	2	2	D
Southampton	Aston Villa	0	1	A
Chelsea	Everton	2	2	D
Coventry	Tottenham	1	2	A
Leicester	Blackburn	1	1	D
Sunderland	Wimbledon	1	3	A
Arsenal	Derby	2	2	D
Middlesbrough	Leeds	0	0	D
Liverpool	Sheffield Weds	0	1	A
Arsenal	Southampton	3	1	H
West Ham	Aston Villa	0	2	A
Middlesbrough	Leicester	0	2	A
Tottenham	Liverpool	0	2	A
Leeds	Chelsea	2	0	H
Newcastle	Arsenal	1	2	A
Aston Villa	Middlesbrough	1	0	H
Everton	Sunderland	1	3	A
Derby	Coventry	2	1	H
Blackburn	Southampton	2	1	H
Sheffield Weds	West Ham	0	0	D
Wimbledon	Nott'm Forest	1	0	H
Man United	Leicester	3	1	H
Nott'm Forest	Blackburn	2	2	D
Arsenal	Tottenham	3	1	H
Liverpool	Wimbledon	1	1	D
Middlesbrough	Man United	2	2	D
West Ham	Derby	1	1	D
Chelsea	Newcastle	1	1	D
Southampton	Leeds	0	2	A
Coventry	Aston Villa	1	2	A
Sunderland	Sheffield Weds	1	1	D
Leicester	Everton	1	2	A
Liverpool	Everton	1	1	D
Sheffield Weds	Nott'm Forest	2	0	H
Derby	Middlesbrough	2	1	H
Tottenham	Sunderland	2	0	H
Wimbledon	Coventry	2	2	D
Everton	Southampton	7	1	H
Blackburn	Chelsea	1	1	D
Man United	Arsenal	1	0	H
Leeds	Liverpool	0	2	A
Newcastle	West Ham	1	1	D
Aston Villa	Leicester	1	3	A
Everton	Coventry	1	1	D
Newcastle	Middlesbrough	3	1	H
Blackburn	Liverpool	3	0	H
Leeds	Sunderland	3	0	H
Sheffield Weds	Southampton	1	1	D
Tottenham	West Ham	1	0	H
Wimbledon	Arsenal	2	2	D
Derby	Leicester	2	0	H
Man United	Chelsea	1	2	A
Aston Villa	Nott'm Forest	2	0	H
Nott'm Forest	Everton	0	1	A
Liverpool	Derby	2	1	H
Southampton	Man United	6	3	H
Sunderland	Aston Villa	1	0	H
Coventry	Sheffield Weds	0	0	D
West Ham	Blackburn	2	1	H
Middlesbrough	Wimbledon	0	0	D
Chelsea	Tottenham	3	1	H
Arsenal	Leeds	3	0	H
Leicester	Newcastle	2	0	H
Newcastle	Man United	5	0	H
West Ham	Leicester	1	0	H
Aston Villa	Leeds	2	0	H
Arsenal	Coventry	0	0	D
Southampton	Sunderland	3	0	H
Middlesbrough	Tottenham	0	3	A
Nott'm Forest	Derby	1	1	D
Chelsea	Wimbledon	2	4	A
Sheffield Weds	Blackburn	1	1	D
Sunderland	Middlesbrough	2	2	D
Coventry	Southampton	1	1	D
Wimbledon	Sheffield Weds	4	2	H
Man United	Liverpool	1	0	H
Blackburn	Arsenal	0	2	A
Everton	West Ham	2	1	H
Derby	Newcastle	0	1	A
Tottenham	Aston Villa	1	0	H
Leicester	Chelsea	1	3	A
Leeds	Nott'm Forest	2	0	H
Newcastle	Aston Villa	4	3	H
Man United	Tottenham	2	0	H
West Ham	Liverpool	1	2	A
Arsenal	Sunderland	2	0	H
Coventry	Blackburn	0	0	D
Leicester	Leeds	1	0	H
Derby	Wimbledon	0	2	A
Southampton	Middlesbrough	4	0	H
Chelsea	Nott'm Forest	1	1	D
Everton	Sheffield Weds	2	0	H
Wimbledon	Southampton	3	1	H
Tottenham	Leicester	1	2	A
Liverpool	Chelsea	5	1	H
Nott'm Forest	West Ham	0	2	A
Aston Villa	Man United	0	0	D
Blackburn	Everton	1	1	D
Middlesbrough	Arsenal	0	2	A
Sunderland	Coventry	1	0	H
Sheffield Weds	Derby	0	0	D
Leeds	Newcastle	0	1	A
Arsenal	Sheffield Weds	4	1	H
Leicester	Liverpool	0	3	A
Chelsea	Aston Villa	1	1	D
Man United	Nott'm Forest	4	1	H
Newcastle	Blackburn	2	1	H
Coventry	Leeds	2	1	H
West Ham	Wimbledon	0	2	A
Everton	Middlesbrough	1	2	A
Derby	Sunderland	1	0	H
Southampton	Tottenham	0	1	A
Blackburn	Derby	1	2	A
Sunderland	West Ham	0	0	D
Sheffield Weds	Chelsea	0	2	A
Tottenham	Newcastle	1	2	A
Middlesbrough	Coventry	4	0	H
Aston Villa	Arsenal	2	2	D
Liverpool	Southampton	2	1	H
Nott'm Forest	Leicester	0	0	D
Wimbledon	Everton	4	0	H
Leeds	Man United	0	4	A
Derby	Man United	1	1	D
Wimbledon	Tottenham	1	0	H
Everton	Aston Villa	0	1	A
Sunderland	Newcastle	1	2	A
Southampton	Nott'm Forest	2	2	D
Arsenal	Chelsea	3	3	D
Middlesbrough	West Ham	4	1	H
Blackburn	Leeds	0	1	A
Coventry	Liverpool	0	1	A
Sheffield Weds	Leicester	2	1	H
Leeds	Wimbledon	1	0	H
Man United	Blackburn	2	2	D
West Ham	Southampton	2	1	H
Chelsea	Coventry	2	0	H
Aston Villa	Derby	2	0	H
Liverpool	Sunderland	0	0	D
Newcastle	Sheffield Weds	1	2	A
Tottenham	Everton	0	0	D
Nott'm Forest	Middlesbrough	1	1	D
Leicester	Arsenal	0	2	A
Man United	Everton	2	2	D
Tottenham	Derby	1	1	D
Chelsea	Middlesbrough	1	0	H
Leicester	Southampton	2	1	H
Newcastle	Wimbledon	2	0	H
West Ham	Coventry	1	1	D
Aston Villa	Blackburn	1	0	H
Nott'm Forest	Sunderland	1	4	A
Leeds	Sheffield Weds	0	2	A
Liverpool	Arsenal	2	0	H
Southampton	Chelsea	0	0	D
Everton	Newcastle	2	0	H
Wimbledon	Man United	0	3	A
Coventry	Nott'm Forest	0	3	A
Blackburn	Tottenham	0	2	A
Sheffield Weds	Aston Villa	2	1	H
Derby	Leeds	3	3	D
Arsenal	West Ham	2	0	H
Sunderland	Leicester	0	0	D
Middlesbrough	Liverpool	3	3	D
Man City	Liverpool	2	2	D
Southampton	Wimbledon	0	0	D
West Ham	Sheffield Weds	1	1	D
Chelsea	Blackburn	2	3	A
Newcastle	Tottenham	1	1	D
Coventry	Leeds	0	0	D
Arsenal	Bolton	2	1	H
Nott'm Forest	QPR	3	0	H
Everton	Aston Villa	1	0	H
Middlesbrough	Man United	0	3	A
Nott'm Forest	Newcastle	1	1	D
Leeds	Tottenham	1	3	A
Arsenal	Liverpool	0	0	D
Leeds	Newcastle	0	1	A
Man United	Nott'm Forest	5	0	H
Liverpool	Middlesbrough	1	0	H
Sheffield Weds	Everton	2	5	A
Bolton	Southampton	0	1	A
Wimbledon	Coventry	0	2	A
Tottenham	Chelsea	1	1	D
Aston Villa	Man City	0	1	A
Blackburn	Arsenal	1	1	D
QPR	West Ham	3	0	H
Man United	Leeds	1	0	H
Nott'm Forest	Coventry	0	0	D
Sheffield Weds	Chelsea	0	0	D
Blackburn	Wimbledon	3	2	H
Newcastle	Southampton	1	0	H
Aston Villa	West Ham	1	1	D
Everton	Liverpool	1	1	D
Arsenal	Tottenham	0	0	D
Newcastle	Aston Villa	1	0	H
Nott'm Forest	Blackburn	1	5	A
Coventry	QPR	1	0	H
Middlesbrough	Wimbledon	1	2	A
Man City	Sheffield Weds	1	0	H
West Ham	Bolton	1	0	H
Chelsea	Leeds	4	1	H
Southampton	Man United	3	1	H
Tottenham	Middlesbrough	1	1	D
Bolton	Chelsea	2	1	H
Man United	Coventry	1	0	H
Wimbledon	Man City	3	0	H
Liverpool	West Ham	2	0	H
QPR	Everton	3	1	H
Blackburn	Newcastle	2	1	H
Aston Villa	Southampton	3	0	H
Sheffield Weds	Arsenal	1	0	H
Leeds	Nott'm Forest	1	3	A
Chelsea	Aston Villa	1	2	A
Newcastle	QPR	2	1	H
Southampton	Blackburn	1	0	H
Arsenal	Leeds	2	1	H
Coventry	Liverpool	1	0	H
Nott'm Forest	Tottenham	2	1	H
Man City	Man United	2	3	A
Everton	Bolton	3	0	H
West Ham	Wimbledon	1	1	D
Middlesbrough	Sheffield Weds	3	1	H
Leeds	Southampton	1	0	H
Liverpool	Newcastle	4	3	H
QPR	Southampton	3	0	H
Leeds	Middlesbrough	0	1	A
Bolton	Man City	1	1	D
Blackburn	Everton	0	3	A
Wimbledon	Nott'm Forest	1	0	H
Tottenham	Coventry	3	1	H
Southampton	Coventry	1	0	H
Man United	Tottenham	1	0	H
Everton	Wimbledon	2	4	A
Chelsea	QPR	1	1	D
Bolton	Sheffield Weds	2	1	H
West Ham	Man City	4	2	H
Nott'm Forest	Liverpool	1	0	H
Arsenal	Newcastle	2	0	H
Bolton	Tottenham	2	3	A
Southampton	Sheffield Weds	0	1	A
Man United	Arsenal	1	0	H
Aston Villa	Middlesbrough	0	0	D
Newcastle	West Ham	3	0	H
Leeds	Everton	2	2	D
Middlesbrough	Nott'm Forest	1	1	D
Liverpool	Chelsea	2	0	H
QPR	Man United	1	1	D
Tottenham	Blackburn	2	3	A
Wimbledon	Arsenal	0	3	A
Sheffield Weds	Aston Villa	2	0	H
Man City	Southampton	2	1	H
Coventry	Bolton	0	2	A
Liverpool	Wimbledon	2	2	D
Blackburn	Leeds	1	0	H
Chelsea	Man City	1	1	D
Everton	Coventry	2	2	D
Aston Villa	QPR	4	2	H
West Ham	Middlesbrough	2	0	H
QPR	Leeds	1	2	A
Aston Villa	Sheffield Weds	3	2	H
Arsenal	Man City	3	1	H
Newcastle	Man United	0	1	A
Liverpool	Aston Villa	3	0	H
Sheffield Weds	Nott'm Forest	1	3	A
QPR	Arsenal	1	1	D
Wimbledon	Chelsea	1	1	D
Leeds	Bolton	0	1	A
Tottenham	Southampton	1	0	H
Man City	Blackburn	1	1	D
Coventry	West Ham	2	2	D
Middlesbrough	Everton	0	2	A
Aston Villa	Blackburn	2	0	H
Bolton	Man United	0	6	A
Blackburn	Liverpool	2	3	A
Everton	Nott'm Forest	3	0	H
West Ham	Arsenal	0	1	A
Man City	Newcastle	3	3	D
Wimbledon	Aston Villa	3	3	D
Coventry	Middlesbrough	0	0	D
Southampton	Chelsea	2	3	A
Tottenham	Sheffield Weds	1	0	H
Man United	Everton	2	0	H
West Ham	Newcastle	2	0	H
Middlesbrough	Bolton	1	4	A
Sheffield Weds	QPR	1	3	A
Chelsea	West Ham	1	2	A
Tottenham	West Ham	0	1	A
QPR	Liverpool	1	2	A
Sheffield Weds	Wimbledon	2	1	H
Coventry	Chelsea	1	0	H
Bolton	Aston Villa	0	2	A
Everton	Man City	2	0	H
Man United	Blackburn	1	0	H
Middlesbrough	Newcastle	1	2	A
Nott'm Forest	Arsenal	0	1	A
Chelsea	Middlesbrough	5	0	H
Southampton	Everton	2	2	D
Liverpool	Tottenham	0	0	D
Newcastle	Sheffield Weds	2	0	H
Arsenal	Coventry	1	1	D
West Ham	Nott'm Forest	1	0	H
Aston Villa	Leeds	3	0	H
Man City	QPR	2	0	H
Blackburn	Bolton	3	1	H
Wimbledon	Man United	2	4	A
West Ham	Coventry	3	2	H
Southampton	Man City	1	1	D
Nott'm Forest	Leeds	2	1	H
Aston Villa	Liverpool	0	2	A
West Ham	Man United	0	1	A
Aston Villa	Tottenham	2	1	H
Blackburn	Sheffield Weds	3	0	H
Chelsea	Nott'm Forest	1	0	H
Man City	Coventry	1	1	D
Wimbledon	QPR	2	1	H
Liverpool	Leeds	5	0	H
Newcastle	Bolton	2	1	H
Southampton	Middlesbrough	2	1	H
Arsenal	Everton	1	2	A
Coventry	Newcastle	0	1	A
QPR	Blackburn	0	1	A
Tottenham	Man City	1	0	H
Leeds	West Ham	2	0	H
Nott'm Forest	Southampton	1	0	H
Man United	Aston Villa	0	0	D
Bolton	Wimbledon	1	0	H
Sheffield Weds	Liverpool	1	1	D
Middlesbrough	Arsenal	2	3	A
Everton	Chelsea	1	1	D
QPR	Chelsea	1	2	A
Newcastle	Arsenal	2	0	H
Tottenham	Man United	4	1	H
Leeds	Blackburn	0	0	D
Sheffield Weds	Bolton	4	2	H
Liverpool	Nott'm Forest	4	2	H
Man City	West Ham	2	1	H
Wimbledon	Everton	2	3	A
Coventry	Southampton	1	1	D
Middlesbrough	Aston Villa	0	2	A
Blackburn	Tottenham	2	1	H
Arsenal	Wimbledon	1	3	A
Everton	Leeds	2	0	H
Chelsea	Liverpool	2	2	D
Bolton	Coventry	1	2	A
Man United	QPR	2	1	H
Nott'm Forest	Middlesbrough	1	0	H
Bolton	Leeds	0	2	A
Man United	Newcastle	2	0	H
Nott'm Forest	Sheffield Weds	1	0	H
