HomeTeam	AwayTeam	FTH Goals	FTA Goals	FT Result
Liverpool	Fulham	1	0	H
Arsenal	Chelsea	3	1	H
Leicester	Everton	2	2	D
Liverpool	Tottenham	4	3	H
Bournemouth	Leeds	4	1	H
Man United	Aston Villa	1	0	H
Fulham	Man City	1	2	A
Newcastle	Southampton	3	1	H
Brentford	Nott'm Forest	2	1	H
Brighton	Wolves	6	0	H
Crystal Palace	West Ham	4	3	H
Southampton	Bournemouth	0	1	A
Everton	Newcastle	1	4	A
Tottenham	Man United	2	2	D
West Ham	Liverpool	1	2	A
Chelsea	Brentford	0	2	A
Man City	Arsenal	4	1	H
Nott'm Forest	Brighton	3	1	H
Wolves	Crystal Palace	2	0	H
Leeds	Leicester	1	1	D
Aston Villa	Fulham	1	0	H
Bournemouth	West Ham	0	4	A
Newcastle	Tottenham	6	1	H
Fulham	Leeds	2	1	H
Leicester	Wolves	2	1	H
Brentford	Aston Villa	1	1	D
Crystal Palace	Everton	0	0	D
Liverpool	Nott'm Forest	3	2	H
Arsenal	Southampton	3	3	D
Leeds	Liverpool	1	6	A
Nott'm Forest	Man United	0	2	A
West Ham	Arsenal	2	2	D
Aston Villa	Newcastle	3	0	H
Tottenham	Bournemouth	2	3	A
Wolves	Brentford	2	0	H
Everton	Fulham	1	3	A
Man City	Leicester	3	1	H
Chelsea	Brighton	1	2	A
Southampton	Crystal Palace	0	2	A
Leeds	Crystal Palace	1	5	A
Liverpool	Arsenal	2	2	D
Aston Villa	Nott'm Forest	2	0	H
Southampton	Man City	1	4	A
Tottenham	Brighton	2	1	H
Fulham	West Ham	0	1	A
Brentford	Newcastle	1	2	A
Wolves	Chelsea	1	0	H
Man United	Everton	2	0	H
Leicester	Bournemouth	0	1	A
Man United	Brentford	1	0	H
West Ham	Newcastle	1	5	A
Chelsea	Liverpool	0	0	D
Leicester	Aston Villa	1	2	A
Bournemouth	Brighton	0	2	A
Leeds	Nott'm Forest	2	1	H
Everton	Tottenham	1	1	D
Newcastle	Man United	2	0	H
West Ham	Southampton	1	0	H
Chelsea	Aston Villa	0	2	A
Arsenal	Leeds	4	1	H
Man City	Liverpool	4	1	H
Bournemouth	Fulham	2	1	H
Brighton	Brentford	3	3	D
Crystal Palace	Leicester	2	1	H
Nott'm Forest	Wolves	1	1	D
Arsenal	Crystal Palace	4	1	H
Brentford	Leicester	1	1	D
Wolves	Leeds	2	4	A
Southampton	Tottenham	3	3	D
Aston Villa	Bournemouth	3	0	H
Chelsea	Everton	2	2	D
Nott'm Forest	Newcastle	1	2	A
Brighton	Crystal Palace	1	0	H
Southampton	Brentford	0	2	A
Fulham	Arsenal	0	3	A
Newcastle	Wolves	2	1	H
West Ham	Aston Villa	1	1	D
Man United	Southampton	0	0	D
Tottenham	Nott'm Forest	3	1	H
Leeds	Brighton	2	2	D
Everton	Brentford	1	0	H
Crystal Palace	Man City	0	1	A
Bournemouth	Liverpool	1	0	H
Leicester	Chelsea	1	3	A
Brentford	Fulham	3	2	H
Nott'm Forest	Everton	2	2	D
Liverpool	Man United	7	0	H
Brighton	West Ham	4	0	H
Southampton	Leicester	1	0	H
Arsenal	Bournemouth	3	2	H
Aston Villa	Crystal Palace	1	0	H
Chelsea	Leeds	1	0	H
Wolves	Tottenham	1	0	H
Man City	Newcastle	2	0	H
Liverpool	Wolves	2	0	H
Arsenal	Everton	4	0	H
Tottenham	Chelsea	2	0	H
Crystal Palace	Liverpool	0	0	D
Leicester	Arsenal	0	1	A
Bournemouth	Man City	1	4	A
West Ham	Nott'm Forest	4	0	H
Everton	Aston Villa	0	2	A
Leeds	Southampton	1	0	H
Fulham	Wolves	1	1	D
Tottenham	West Ham	2	0	H
Man United	Leicester	3	0	H
Wolves	Bournemouth	0	1	A
Chelsea	Southampton	0	1	A
Brentford	Crystal Palace	1	1	D
Nott'm Forest	Man City	1	1	D
Everton	Leeds	1	0	H
Newcastle	Liverpool	0	2	A
Brighton	Fulham	0	1	A
Aston Villa	Arsenal	2	4	A
Arsenal	Man City	1	3	A
Liverpool	Everton	2	0	H
Man City	Aston Villa	3	1	H
Leeds	Man United	0	2	A
Bournemouth	Newcastle	1	1	D
Crystal Palace	Brighton	1	1	D
Leicester	Tottenham	4	1	H
Arsenal	Brentford	1	1	D
Southampton	Wolves	1	2	A
West Ham	Chelsea	1	1	D
Fulham	Nott'm Forest	2	0	H
Man United	Leeds	2	2	D
Nott'm Forest	Leeds	1	0	H
Tottenham	Man City	1	0	H
Aston Villa	Leicester	2	4	A
Brighton	Bournemouth	1	0	H
Everton	Arsenal	1	0	H
Newcastle	West Ham	1	1	D
Wolves	Liverpool	3	0	H
Brentford	Southampton	3	0	H
Man United	Crystal Palace	2	1	H
Chelsea	Fulham	0	0	D
Fulham	Tottenham	0	1	A
Man City	Wolves	3	0	H
Leeds	Brentford	0	0	D
